,KOTAKBANK.NS,INFY.NS,WIPRO.NS,TECHM.NS,ONGC.NS,NTPC.NS,ITC.NS,NESTLEIND.NS,BRITANNIA.NS,SUNPHARMA.NS,DRREDDY.NS,APOLLOHOSP.NS,BHARTIARTL.NS,TATASTEEL.NS,DLF.NS
KOTAKBANK.NS,1.0,0.22753323723938487,0.20446614797188278,0.2113397227913132,0.20023388509902562,0.26497393785684803,0.2735572361827707,0.20449911833631773,0.27722890126311456,0.20655455771635176,0.14660825877010758,0.24111666178833668,0.23646445743246589,0.29543399733002207,0.3534807891158202
INFY.NS,0.22753323723938487,1.0,0.5307903148361746,0.5485417147479796,0.1673145863325974,0.15972795675496346,0.1592620303270738,0.18279281285340784,0.193648378618768,0.16863147320133723,0.18216689990875448,0.1679646580058078,0.1920694673991145,0.21335203205430872,0.19433995725737585
WIPRO.NS,0.20446614797188278,0.5307903148361746,1.0,0.49218100239172535,0.23504696516605567,0.19782402706777028,0.18097735167813406,0.18798954579360633,0.18851352936568863,0.18841163241954906,0.21441894674178952,0.2150924438511971,0.16836828128571013,0.2609414565534287,0.25177759718404
TECHM.NS,0.2113397227913132,0.5485417147479796,0.49218100239172535,1.0,0.20086619406358852,0.1895609663337097,0.17073018612140078,0.18443346209508596,0.20994536205794972,0.22069235311662974,0.18831078594955633,0.21607027254682729,0.1822768381503698,0.23305168236210502,0.2363325662604689
ONGC.NS,0.20023388509902562,0.1673145863325974,0.23504696516605567,0.20086619406358852,1.0,0.4296082816982848,0.23611186039938584,0.12810186769022858,0.14656808148721873,0.1962393633549636,0.16302793125788634,0.16471807275501008,0.2149730999848421,0.4192153937563277,0.31456217888167803
NTPC.NS,0.26497393785684803,0.15972795675496346,0.19782402706777028,0.1895609663337097,0.4296082816982848,1.0,0.2371612534082702,0.15279914511033038,0.1612523110017742,0.22348928646431207,0.16331132741345972,0.16575943942446908,0.23735786857224261,0.3956957369753138,0.35494207923169463
ITC.NS,0.2735572361827707,0.1592620303270738,0.18097735167813406,0.17073018612140078,0.23611186039938584,0.2371612534082702,1.0,0.20172998830550376,0.2490375821558227,0.1834937071636682,0.13601129898630301,0.17783419145294113,0.22811209398566396,0.27384937802085724,0.3089388271575553
NESTLEIND.NS,0.20449911833631773,0.18279281285340784,0.18798954579360633,0.18443346209508596,0.12810186769022858,0.15279914511033038,0.20172998830550376,1.0,0.4231815321773694,0.15291320995504273,0.18317433770022834,0.22375780146966084,0.1645161176139184,0.16493414906879222,0.1850925817209297
BRITANNIA.NS,0.27722890126311456,0.193648378618768,0.18851352936568863,0.20994536205794972,0.14656808148721873,0.1612523110017742,0.2490375821558227,0.4231815321773694,1.0,0.20036621874879712,0.1987904776684159,0.23524160024730562,0.16776857539480533,0.22142421707420673,0.253521848278212
SUNPHARMA.NS,0.20655455771635176,0.16863147320133723,0.18841163241954906,0.22069235311662974,0.1962393633549636,0.22348928646431207,0.1834937071636682,0.15291320995504273,0.20036621874879712,1.0,0.38205126296311004,0.23826152837765377,0.1955222428907759,0.27692735840068566,0.27966045809588874
DRREDDY.NS,0.14660825877010758,0.18216689990875448,0.21441894674178952,0.18831078594955633,0.16302793125788634,0.16331132741345972,0.13601129898630301,0.18317433770022834,0.1987904776684159,0.38205126296311004,1.0,0.23275299256736862,0.13887229380087437,0.20979361815765268,0.17950464056019594
APOLLOHOSP.NS,0.24111666178833668,0.1679646580058078,0.2150924438511971,0.21607027254682729,0.16471807275501008,0.16575943942446908,0.17783419145294113,0.22375780146966084,0.23524160024730562,0.23826152837765377,0.23275299256736862,1.0,0.16707421663887748,0.23299220161095802,0.27702483897373664
BHARTIARTL.NS,0.23646445743246589,0.1920694673991145,0.16836828128571013,0.1822768381503698,0.2149730999848421,0.23735786857224261,0.22811209398566396,0.1645161176139184,0.16776857539480533,0.1955222428907759,0.13887229380087437,0.16707421663887748,1.0,0.2821704989653151,0.2969297191020292
TATASTEEL.NS,0.29543399733002207,0.21335203205430872,0.2609414565534287,0.23305168236210502,0.4192153937563277,0.3956957369753138,0.27384937802085724,0.16493414906879222,0.22142421707420673,0.27692735840068566,0.20979361815765268,0.23299220161095802,0.2821704989653151,1.0,0.4786939189199748
DLF.NS,0.3534807891158202,0.19433995725737585,0.25177759718404,0.2363325662604689,0.31456217888167803,0.35494207923169463,0.3089388271575553,0.1850925817209297,0.253521848278212,0.27966045809588874,0.17950464056019594,0.27702483897373664,0.2969297191020292,0.4786939189199748,1.0
