,KOTAKBANK.NS,INFY.NS,WIPRO.NS,TECHM.NS,ONGC.NS,NTPC.NS,ITC.NS,NESTLEIND.NS,BRITANNIA.NS,SUNPHARMA.NS,DRREDDY.NS,APOLLOHOSP.NS,BHARTIARTL.NS,TATASTEEL.NS,DLF.NS
KOTAKBANK.NS,0.00026634637451323936,6.271803956792637e-05,5.401215721902245e-05,6.35340142707671e-05,6.757094037154783e-05,7.0511514661855e-05,6.843193404244487e-05,4.7905958953524725e-05,6.830127056099251e-05,5.9790651914358374e-05,3.977542809270672e-05,7.666289655804077e-05,7.017943810751947e-05,0.00010815516892757703,0.00015346735207889966
INFY.NS,6.271803956792637e-05,0.00028526498573705006,0.0001451088623126452,0.00017066154067759459,5.8432845062184216e-05,4.398845002693947e-05,4.123098350342553e-05,4.4315744864414694e-05,4.937475837741506e-05,5.051704980953772e-05,5.1147773556662116e-05,5.526838208262171e-05,5.89933673232827e-05,8.083220618005778e-05,8.731987921304504e-05
WIPRO.NS,5.401215721902245e-05,0.0001451088623126452,0.0002619952552526374,0.00014674838404085365,7.866840690494878e-05,5.221066691731515e-05,4.4901221324562385e-05,4.367723274553112e-05,4.606341389457691e-05,5.4091563788333945e-05,5.769562781559937e-05,6.78276037353925e-05,4.9559579376319996e-05,9.474432584701743e-05,0.00010841530276352058
TECHM.NS,6.35340142707671e-05,0.00017066154067759459,0.00014674838404085365,0.00033931537285978035,7.650813455839579e-05,5.693563531718926e-05,4.820579993644195e-05,4.8765893964406134e-05,5.8381458054463055e-05,7.21047980664798e-05,5.7664694559135685e-05,7.754099952341597e-05,6.10595886989891e-05,9.629803492122418e-05,0.00011581161771947475
ONGC.NS,6.757094037154783e-05,5.8432845062184216e-05,7.866840690494878e-05,7.650813455839579e-05,0.00042756090572788506,0.00014484554030907014,7.483487017810776e-05,3.802149236575495e-05,4.575149411491295e-05,7.197144661439478e-05,5.6039473167210054e-05,6.635518335860349e-05,8.083579863359163e-05,0.0001944462761829368,0.0001730343348439579
NTPC.NS,7.0511514661855e-05,4.398845002693947e-05,5.221066691731515e-05,5.693563531718926e-05,0.00014484554030907014,0.00026586855688201684,5.927402763661423e-05,3.576260260642469e-05,3.969230507812308e-05,6.463463634049124e-05,4.4267279217513315e-05,5.265581820992716e-05,7.038137425949761e-05,0.0001447299043402353,0.00015396349723846824
ITC.NS,6.843193404244487e-05,4.123098350342553e-05,4.4901221324562385e-05,4.820579993644195e-05,7.483487017810776e-05,5.927402763661423e-05,0.00023494944554441666,4.438460700711605e-05,5.762606802801636e-05,4.9886553240113e-05,3.465734045303062e-05,5.310520431167867e-05,6.358521490198249e-05,9.415911883666603e-05,0.00012597561724507858
NESTLEIND.NS,4.7905958953524725e-05,4.4315744864414694e-05,4.367723274553112e-05,4.8765893964406134e-05,3.802149236575495e-05,3.576260260642469e-05,4.438460700711605e-05,0.00020603898728609852,9.16997800651396e-05,3.893093372184561e-05,4.370915042852651e-05,6.25730748274201e-05,4.294412669438149e-05,5.310662496528302e-05,7.067901780161885e-05
BRITANNIA.NS,6.830127056099251e-05,4.937475837741506e-05,4.606341389457691e-05,5.8381458054463055e-05,4.575149411491295e-05,3.969230507812308e-05,5.762606802801636e-05,9.16997800651396e-05,0.00022789446020695184,5.364960120666546e-05,4.9887931060633016e-05,6.918558481058834e-05,4.605726245385589e-05,7.498172309408674e-05,0.00010181436705151756
SUNPHARMA.NS,5.9790651914358374e-05,5.051704980953772e-05,5.4091563788333945e-05,7.21047980664798e-05,7.197144661439478e-05,6.463463634049124e-05,4.9886553240113e-05,3.893093372184561e-05,5.364960120666546e-05,0.000314593846243189,0.00011264963353691698,8.23310476964031e-05,6.306550853871043e-05,0.00011018041125663514,0.00013195716167105392
DRREDDY.NS,3.977542809270672e-05,5.1147773556662116e-05,5.769562781559937e-05,5.7664694559135685e-05,5.6039473167210054e-05,4.4267279217513315e-05,3.465734045303062e-05,4.370915042852651e-05,4.9887931060633016e-05,0.00011264963353691698,0.00027635419659048676,7.538117672229748e-05,4.19825932156437e-05,7.823277213089021e-05,7.93844612375032e-05
APOLLOHOSP.NS,7.666289655804077e-05,5.526838208262171e-05,6.78276037353925e-05,7.754099952341597e-05,6.635518335860349e-05,5.265581820992716e-05,5.310520431167867e-05,6.25730748274201e-05,6.918558481058834e-05,8.23310476964031e-05,7.538117672229748e-05,0.00037955019093343327,5.919222438609321e-05,0.00010182148034636273,0.0001435754239908654
BHARTIARTL.NS,7.017943810751947e-05,5.89933673232827e-05,4.9559579376319996e-05,6.10595886989891e-05,8.083579863359163e-05,7.038137425949761e-05,6.358521490198249e-05,4.294412669438149e-05,4.605726245385589e-05,6.306550853871043e-05,4.19825932156437e-05,5.919222438609321e-05,0.0003307053646312476,0.00011510538469552578,0.0001436484938145981
TATASTEEL.NS,0.00010815516892757703,8.083220618005778e-05,9.474432584701743e-05,9.629803492122418e-05,0.0001944462761829368,0.0001447299043402353,9.415911883666603e-05,5.310662496528302e-05,7.498172309408674e-05,0.00011018041125663514,7.823277213089021e-05,0.00010182148034636273,0.00011510538469552578,0.0005031840067787059,0.00028565913331448804
DLF.NS,0.00015346735207889966,8.731987921304504e-05,0.00010841530276352058,0.00011581161771947475,0.0001730343348439579,0.00015396349723846824,0.00012597561724507858,7.067901780161885e-05,0.00010181436705151756,0.00013195716167105392,7.93844612375032e-05,0.0001435754239908654,0.0001436484938145981,0.00028565913331448804,0.0007077071421079174
