,KOTAKBANK.NS,INFY.NS,WIPRO.NS,TECHM.NS,ONGC.NS,NTPC.NS,ITC.NS,NESTLEIND.NS,BRITANNIA.NS,SUNPHARMA.NS,DRREDDY.NS,APOLLOHOSP.NS,BHARTIARTL.NS,TATASTEEL.NS,DLF.NS
KOTAKBANK.NS,0.06711928637733632,0.015804945971117448,0.013611063619193658,0.016010571596233307,0.017027876973630056,0.01776890169478746,0.017244847378696106,0.012072301656288231,0.017211920181370112,0.01506724428241831,0.010023407879362093,0.019319049932626276,0.017685218403094907,0.02725510256974941,0.03867377272388271
INFY.NS,0.015804945971117448,0.07188677640573661,0.03656743330278659,0.04300670825075384,0.014725076955670423,0.011085089406788746,0.010390207842863233,0.011167567705832503,0.012442439111108594,0.012730296552003504,0.012889238936278854,0.013927632284820671,0.01486632856546724,0.02036971595737456,0.02200460956168735
WIPRO.NS,0.013611063619193658,0.03656743330278659,0.06602280432366463,0.03698059277829512,0.019824438540047094,0.013157088063163418,0.011315107773789721,0.011006662651873843,0.011607980301433382,0.013631074074660155,0.014539298209531041,0.01709255614131891,0.012489014002832638,0.023875570113448392,0.027320656296407186
TECHM.NS,0.016010571596233307,0.04300670825075384,0.03698059277829512,0.08550747396066465,0.01928004990871574,0.014347780099931694,0.012147861583983371,0.012289005279030346,0.01471212742972469,0.01817040911275291,0.014531503028902193,0.019540331879900823,0.015387016352145254,0.024267104800148494,0.029184527665307637
ONGC.NS,0.017027876973630056,0.014725076955670423,0.019824438540047094,0.01928004990871574,0.10774534824342703,0.03650107615788568,0.018858387284883156,0.009581416076170248,0.011529376516958064,0.018136804546827485,0.014121947238136933,0.01672150620636808,0.02037062125566509,0.04900046159810007,0.04360465238067739
NTPC.NS,0.01776890169478746,0.011085089406788746,0.013157088063163418,0.014347780099931694,0.03650107615788568,0.06699887633426825,0.014937054964426787,0.009012175856819021,0.010002460879687017,0.01628792835780379,0.011155354362813355,0.013269266188901644,0.017736106313393396,0.036471935893739295,0.038798801304094
ITC.NS,0.017244847378696106,0.010390207842863233,0.011315107773789721,0.012147861583983371,0.018858387284883156,0.014937054964426787,0.059207260277192995,0.011184920965793243,0.014521769143060123,0.012571411416508476,0.008733649794163715,0.013382511486543024,0.01602347415529959,0.02372809794683984,0.0317458555457598
NESTLEIND.NS,0.012072301656288231,0.011167567705832503,0.011006662651873843,0.012289005279030346,0.009581416076170248,0.009012175856819021,0.011184920965793243,0.051921824796096826,0.02310834457641518,0.009810595297905095,0.01101470590798868,0.015768414856509864,0.010821919926984135,0.013382869491251321,0.01781111248600795
BRITANNIA.NS,0.017211920181370112,0.012442439111108594,0.011607980301433382,0.01471212742972469,0.011529376516958064,0.010002460879687017,0.014521769143060123,0.02310834457641518,0.05742940397215186,0.013519699504079696,0.01257175862727952,0.01743476737226826,0.011606430138371685,0.01889539421970986,0.025657220496982425
SUNPHARMA.NS,0.01506724428241831,0.012730296552003504,0.013631074074660155,0.01817040911275291,0.018136804546827485,0.01628792835780379,0.012571411416508476,0.009810595297905095,0.013519699504079696,0.07927764925328364,0.02838770765130308,0.02074742401949358,0.01589250815175503,0.027765463636672056,0.03325320474110559
DRREDDY.NS,0.010023407879362093,0.012889238936278854,0.014539298209531041,0.014531503028902193,0.014121947238136933,0.011155354362813355,0.008733649794163715,0.01101470590798868,0.01257175862727952,0.02838770765130308,0.06964125754080266,0.018996056534018965,0.010579613490342213,0.01971465857698433,0.020004884231850806
APOLLOHOSP.NS,0.019319049932626276,0.013927632284820671,0.01709255614131891,0.019540331879900823,0.01672150620636808,0.013269266188901644,0.013382511486543024,0.015768414856509864,0.01743476737226826,0.02074742401949358,0.018996056534018965,0.09564664811522519,0.014916440545295489,0.025659013047283408,0.03618100684569808
BHARTIARTL.NS,0.017685218403094907,0.01486632856546724,0.012489014002832638,0.015387016352145254,0.02037062125566509,0.017736106313393396,0.01602347415529959,0.010821919926984135,0.011606430138371685,0.01589250815175503,0.010579613490342213,0.014916440545295489,0.0833377518870744,0.029006556943272494,0.03619942044127872
TATASTEEL.NS,0.02725510256974941,0.02036971595737456,0.023875570113448392,0.024267104800148494,0.04900046159810007,0.036471935893739295,0.02372809794683984,0.013382869491251321,0.01889539421970986,0.027765463636672056,0.01971465857698433,0.025659013047283408,0.029006556943272494,0.1268023697082339,0.07198610159525098
DLF.NS,0.03867377272388271,0.02200460956168735,0.027320656296407186,0.029184527665307637,0.04360465238067739,0.038798801304094,0.0317458555457598,0.01781111248600795,0.025657220496982425,0.03325320474110559,0.020004884231850806,0.03618100684569808,0.03619942044127872,0.07198610159525098,0.17834219981119517
