,Equal_Weight,Minimum_Variance,Maximum_Sharpe,Risk_Parity,Maximum_Diversification
KOTAKBANK.NS,0.06666666666666668,0.072538652873515,0.034808363024294374,0.0,0.06451770293008827
INFY.NS,0.06666666666666668,0.07343699738804489,0.07511895088359297,0.12288753802464869,0.07386868432430194
WIPRO.NS,0.06666666666666668,0.0791043675884604,0.0,0.12523810476620634,0.046754525504142566
TECHM.NS,0.06666666666666668,0.008100579508119604,0.05011758002058567,0.14094232749368243,0.04258090119328243
ONGC.NS,0.06666666666666668,0.013419349417514805,0.0,0.13704079525941873,0.06970897273479623
NTPC.NS,0.06666666666666668,0.10546599848590978,0.14817363373538703,0.0943226475612353,0.07182720580275724
ITC.NS,0.06666666666666668,0.13097386952585965,0.0,0.0,0.09672874894886117
NESTLEIND.NS,0.06666666666666668,0.15,0.14999999999999986,0.0,0.11397957596456719
BRITANNIA.NS,0.06666666666666668,0.09768956341247649,0.14999999999999988,0.0,0.06953562601341183
SUNPHARMA.NS,0.06666666666666668,0.05447252599880671,0.02115296517330896,0.0,0.06745261498127483
DRREDDY.NS,0.06666666666666668,0.10979198503457782,0.008136429907390556,0.0,0.10289183705048084
APOLLOHOSP.NS,0.06666666666666668,0.03421648542164941,0.15,0.11869694255196986,0.07664147249737441
BHARTIARTL.NS,0.06666666666666668,0.07078962534506535,0.15,0.0,0.09380893634009303
TATASTEEL.NS,0.06666666666666668,0.0,0.06249207725544061,0.13399491427186985,0.0050900783515506675
DLF.NS,0.06666666666666668,0.0,0.0,0.12687673007096875,0.004613117363017409
