,Equal_Weight,Minimum_Variance,Maximum_Sharpe,Risk_Parity,Maximum_Diversification
KOTAKBANK.NS,0.009269573074086362,0.01000321306589661,0.0043444781970893645,0.0,0.008727996181084668
INFY.NS,0.009326261251069331,0.01012652357489713,0.009499113153148019,0.01883404579332131,0.010341819294954487
WIPRO.NS,0.009475350356896171,0.010908607819427834,0.0,0.019784387674834508,0.0062731069452968535
TECHM.NS,0.010809269551863118,0.0011171360246004561,0.007078730045142825,0.025617264585704323,0.006501732570868773
ONGC.NS,0.01200911794117386,0.0018504636559988025,0.0,0.027780656912527298,0.011948127308519435
NTPC.NS,0.009431825538977654,0.014543498288214482,0.021714240356309013,0.01349548195182975,0.009708110690767774
ITC.NS,0.007947709095448053,0.018060844771629253,0.0,0.0,0.012290090771685474
NESTLEIND.NS,0.006621943538293159,0.020009396534058994,0.0192943031224924,0.0,0.013561695823993834
BRITANNIA.NS,0.007839970760810503,0.013471061302877011,0.02143407828643788,0.0,0.00870134705576776
SUNPHARMA.NS,0.00965412344619075,0.007511888371000031,0.0024231209763828925,0.0,0.00991713233104933
DRREDDY.NS,0.007973989794409886,0.015140191346647167,0.0007518907921789629,0.0,0.01417836880060462
APOLLOHOSP.NS,0.010326621916606828,0.004718669914637914,0.02800135417845593,0.018080320020540695,0.0123768702553293
BHARTIARTL.NS,0.009414216983293608,0.009762304229144765,0.025088349104795713,0.0,0.014140896085051879
TATASTEEL.NS,0.015497894564758228,0.0,0.01264521889783098,0.03334045767369328,0.0009464555063745746
DLF.NS,0.018740061795926313,0.0,0.0,0.03693796110297171,0.001017263816665447
