,KOTAKBANK.NS,INFY.NS,WIPRO.NS,TECHM.NS,ONGC.NS,NTPC.NS,ITC.NS,NESTLEIND.NS,BRITANNIA.NS,SUNPHARMA.NS,DRREDDY.NS,APOLLOHOSP.NS,BHARTIARTL.NS,TATASTEEL.NS,DLF.NS
KOTAKBANK.NS,0.03389611269957546,0.021763090077888944,0.010730980185449289,0.012467415115464665,-0.005438509997889486,0.0040606221517736,0.009854347452259845,-0.000891285068699508,0.009540220614651004,-0.003231190621966384,0.00012861037591762556,-0.007072278089931686,0.00170429757964187,0.006520016618242662,0.023165074325170853
INFY.NS,0.021763090077888944,0.0944121421142016,0.044544107790608314,0.045098003524447365,-0.0114710270692258,0.0055063666537461765,0.020044854652040974,0.01004612338300161,0.020422905544538485,0.008885965834691471,0.021156193148620266,-0.005937989605026645,0.007249122929719676,0.009559020415128952,0.022803081432279958
WIPRO.NS,0.010730980185449287,0.044544107790608314,0.04217710090308829,0.01882729027082635,-0.009398016796079609,0.0048556290042846935,0.01423178523010789,0.01087750712246548,0.007301556624770282,0.006539006516229239,0.008246106111050117,-8.36294780092522e-05,0.011798147952203726,0.0027669553099178646,0.014723412387025047
TECHM.NS,0.012467415115464666,0.045098003524447365,0.01882729027082635,0.04963992768628433,0.00016595940418767977,0.0007001904227564511,0.010322366229174595,0.006349411959251046,0.011572995057582403,0.005545848834121213,0.0018106801182906057,0.0020413571297333006,-0.00038506072093224636,-0.0005636486760161076,0.007965874472109313
ONGC.NS,-0.005438509997889486,-0.0114710270692258,-0.009398016796079609,0.00016595940418767915,0.027604421546415597,0.0032905180691665497,-0.006712020828000785,-0.001756266381970777,0.003223869066292685,-0.008049985030153617,6.291968905842575e-05,-0.0077772633593533496,-0.005490257824914392,0.0036387526961355054,-0.008700946623505066
NTPC.NS,0.0040606221517736005,0.005506366653746176,0.0048556290042846935,0.0007001904227564502,0.0032905180691665497,0.02668560244110078,0.004744966034136344,0.0035412143682321743,0.0024526707857712624,-0.0015835142927491605,0.007781208316045284,-0.012650083826467838,0.003275411642978474,0.006438015431768133,0.009273188497052576
ITC.NS,0.009854347452259845,0.020044854652040974,0.01423178523010789,0.010322366229174595,-0.006712020828000785,0.0047449660341363446,0.023589829089359807,0.01164868188474045,0.00796820627203543,0.0043381783353245796,0.0038411811135284795,0.007894184131603874,0.009437224389640527,-0.0012942524826793688,0.0026501257048787844
NESTLEIND.NS,-0.000891285068699508,0.010046123383001608,0.01087750712246548,0.006349411959251048,-0.0017562663819707775,0.0035412143682321743,0.011648681884740449,0.039548255323898794,0.015873082740730637,0.007795149107096171,-0.00798750439171309,0.005566069146150406,0.012495528009871165,-0.0034838843450852946,0.009268251781373459
BRITANNIA.NS,0.009540220614651002,0.020422905544538485,0.007301556624770282,0.011572995057582405,0.003223869066292685,0.002452670785771262,0.007968206272035431,0.015873082740730637,0.029616881258321952,0.0004936430321949173,0.0002600031400944498,-0.007214306234545321,0.005509684694340818,0.005266408838701281,0.02391491010705886
SUNPHARMA.NS,-0.003231190621966384,0.008885965834691471,0.006539006516229239,0.005545848834121212,-0.008049985030153617,-0.0015835142927491596,0.0043381783353245796,0.007795149107096169,0.0004936430321949178,0.023906135880865327,-0.003242232326425223,0.009479169178697327,0.008915225116760734,-0.005415259941553815,0.0011561767659055725
DRREDDY.NS,0.00012861037591762535,0.021156193148620266,0.008246106111050117,0.0018106801182906057,6.291968905842544e-05,0.007781208316045282,0.0038411811135284787,-0.00798750439171309,0.000260003140094449,-0.003242232326425222,0.049576915024541625,-0.00990262574269354,-0.0012595192215199545,0.0009841920870089168,-0.009566510254576116
APOLLOHOSP.NS,-0.007072278089931687,-0.005937989605026644,-8.36294780092529e-05,0.002041357129733301,-0.007777263359353348,-0.01265008382646784,0.007894184131603874,0.005566069146150407,-0.007214306234545321,0.009479169178697327,-0.00990262574269354,0.04391524760477529,0.018706819028948586,-0.001571359689673034,-0.011365914068473247
BHARTIARTL.NS,0.00170429757964187,0.007249122929719676,0.011798147952203727,-0.00038506072093224576,-0.005490257824914392,0.003275411642978473,0.009437224389640526,0.012495528009871165,0.005509684694340817,0.008915225116760732,-0.0012595192215199536,0.018706819028948586,0.03933241923361357,0.0068696386824590215,0.012598801337173823
TATASTEEL.NS,0.006520016618242662,0.009559020415128952,0.0027669553099178637,-0.0005636486760161074,0.0036387526961355046,0.006438015431768133,-0.0012942524826793692,-0.0034838843450852946,0.005266408838701281,-0.005415259941553815,0.000984192087008917,-0.0015713596896730338,0.00686963868245902,0.03082730135065747,0.018210989907368125
DLF.NS,0.023165074325170853,0.02280308143227996,0.014723412387025049,0.007965874472109311,-0.008700946623505066,0.009273188497052576,0.0026501257048787844,0.009268251781373457,0.023914910107058856,0.0011561767659055725,-0.009566510254576116,-0.011365914068473247,0.012598801337173823,0.018210989907368125,0.07832294731330519
