,Annualized_Return,Annualized_Volatility,Downside_Volatility,Sharpe_Ratio,Sortino_Ratio,Calmar_Ratio,Maximum_Drawdown,Max_Drawdown_Duration_Days,Historical_VaR_95,Historical_CVaR_95,Parametric_VaR_95,Beta_NIFTY,Skewness,Kurtosis,Best_Day,Worst_Day
KOTAKBANK.NS,0.1336083705662844,0.2590739013820889,0.15617736036425175,0.5157152837608112,0.855491284105905,0.3660604498528121,-0.36498990978131207,858,-0.023582128702919296,-0.03678881865823915,-0.026316408361209367,1.013267982204544,-0.025842805924916595,7.357111408696431,0.1205095617851843,-0.1299956184824775
INFY.NS,0.13560000548087947,0.2681170945794703,0.16422188760307366,0.5057491977285598,0.8257121353313535,0.2814934088674632,-0.48171644951276504,617,-0.024031025313369096,-0.03794611646768517,-0.027245608291501685,0.8160383477358976,-0.26095160236972875,8.108723094490195,0.1203343467727082,-0.1618806686460324
WIPRO.NS,0.09332764676998674,0.25694903059491125,0.1526528933484058,0.36321462880753536,0.6113716204315979,0.18659645370207917,-0.5001576660132787,1145,-0.02454664435719797,-0.036166805327578086,-0.026256062216143294,0.7279177945484248,0.40507817452857586,7.570078381177398,0.1677777032043539,-0.0922469106386639
TECHM.NS,0.15352640720287253,0.2924166102680636,0.1800067882198461,0.5250262871939186,0.8528923199016667,0.3294757865162366,-0.46597174507482886,767,-0.026975555410248188,-0.04163233878195692,-0.029692515400142307,0.8180720072884252,-0.4569898698509459,5.5408663583158955,0.1004685670718488,-0.1546803652968036
ONGC.NS,0.1071638374121639,0.32824586553896923,0.20148689402800907,0.3264742946151182,0.5318650522116185,0.1506810290535186,-0.7111966123758131,1747,-0.028817457823403447,-0.04617115835979699,-0.03358930973340184,0.9070810340222414,-0.1272949407225151,10.132228766026216,0.1850942171052625,-0.1682505553959421
NTPC.NS,0.15995549566105513,0.2588414115520703,0.151395187079393,0.6179671741933667,1.0565428052687897,0.34156549072067843,-0.4683011018576866,945,-0.023973298971528924,-0.03451129051766274,-0.026187764458490543,0.7718935518271683,-0.12491193487653132,4.8012841422579005,0.0913649410566457,-0.1545431556379333
ITC.NS,0.07638948928090221,0.24332542053224326,0.15034644234563094,0.31393961680538746,0.5080897697950888,0.138183632883451,-0.5528114125160671,1235,-0.020884042441323688,-0.03347833921320552,-0.024911526996245412,0.7259435911941919,-0.4959881368550236,10.034520721881293,0.1004568127285439,-0.1281433966027625
NESTLEIND.NS,0.17241280582216167,0.22786361007430922,0.1267159583425893,0.7566491453634727,1.3606242503097072,0.53949212608514,-0.3195835443851359,611,-0.020411191569089927,-0.029683988916347746,-0.022928247965457296,0.5105202407956239,0.5521631789687064,5.8872307410045135,0.1280399359599597,-0.0905889166391482
BRITANNIA.NS,0.19893182157094214,0.23964432806171704,0.13880938958635666,0.8301127891485504,1.4331294314004734,0.5280095317957667,-0.37675801210325244,469,-0.02152377878523063,-0.03199674988766018,-0.024043793736679614,0.6321314967901278,0.2074945706418566,7.405884624306642,0.106111252761202,-0.1337020522938773
SUNPHARMA.NS,0.12117189492296472,0.28156286909548933,0.17188036662921358,0.4303546675462752,0.7049781036618396,0.16956474181445402,-0.714605487121591,2052,-0.02512536051464699,-0.03966264779642702,-0.02869618457434395,0.6666453299235049,-0.2257383031102019,6.256121733480073,0.1101209326684131,-0.1505802996433783
DRREDDY.NS,0.09433186970011861,0.26389630073345594,0.1577168459871458,0.35745809788897703,0.598109029569402,0.16879000662100574,-0.5588711772014299,1173,-0.023110404195575987,-0.0369011799586373,-0.02697198987671295,0.5143248758482146,0.12153137695255961,7.931703056507567,0.138680552155777,-0.1456088692311521
APOLLOHOSP.NS,0.23090901597506505,0.30926792286822313,0.1733521427917354,0.7466309917742544,1.332022853922713,0.5857317569078315,-0.3942231460934771,950,-0.02699380640652809,-0.040270064496230794,-0.031131663200005273,0.7204209685155107,0.5260817860201732,7.130652194241124,0.1549442969383965,-0.1498954136789572
BHARTIARTL.NS,0.20310323016728712,0.2886827876529434,0.16067078291008757,0.7035515758267491,1.2640956027515284,0.43414942373448473,-0.4678187256825662,550,-0.026459051112406037,-0.03822973373592811,-0.029108863637576903,0.8042164118581849,0.47244986008405254,4.028717545139296,0.1129076495362593,-0.1195288629079214
TATASTEEL.NS,0.22760092752976574,0.3560932036816118,0.21253914058088433,0.6391611105649382,1.0708659445395163,0.35288971473165837,-0.6449633356495987,733,-0.03370167055429406,-0.051489638833934176,-0.035997072419139464,1.3184085028307049,-0.029642701071795664,3.2940008739532147,0.1365454006926179,-0.131295968284359
DLF.NS,0.23892852071519835,0.42230581313924054,0.25508357294789724,0.5657713279841119,0.9366676103600028,0.4411412555455938,-0.5416145457075803,738,-0.039610140998329595,-0.060212359780594284,-0.04281342050189049,1.6014081649093468,-0.013556142026511913,4.835568662246324,0.1838074038500405,-0.172654484334133
