Date,KOTAKBANK.NS,INFY.NS,WIPRO.NS,TECHM.NS,ONGC.NS,NTPC.NS,ITC.NS,NESTLEIND.NS,BRITANNIA.NS,SUNPHARMA.NS,DRREDDY.NS,APOLLOHOSP.NS,BHARTIARTL.NS,TATASTEEL.NS,DLF.NS
2015-01-02,,,,,,,,,,,,,,,
2015-01-05,,,,,,,,,,,,,,,
2015-01-06,,,,,,,,,,,,,,,
2015-01-07,,,,,,,,,,,,,,,
2015-01-08,,,,,,,,,,,,,,,
2015-01-09,,,,,,,,,,,,,,,
2015-01-12,,,,,,,,,,,,,,,
2015-01-13,,,,,,,,,,,,,,,
2015-01-14,,,,,,,,,,,,,,,
2015-01-15,,,,,,,,,,,,,,,
2015-01-16,,,,,,,,,,,,,,,
2015-01-19,,,,,,,,,,,,,,,
2015-01-20,,,,,,,,,,,,,,,
2015-01-21,,,,,,,,,,,,,,,
2015-01-22,,,,,,,,,,,,,,,
2015-01-23,,,,,,,,,,,,,,,
2015-01-27,,,,,,,,,,,,,,,
2015-01-28,,,,,,,,,,,,,,,
2015-01-29,,,,,,,,,,,,,,,
2015-01-30,,,,,,,,,,,,,,,
2015-02-02,,,,,,,,,,,,,,,
2015-02-03,,,,,,,,,,,,,,,
2015-02-04,,,,,,,,,,,,,,,
2015-02-05,,,,,,,,,,,,,,,
2015-02-06,,,,,,,,,,,,,,,
2015-02-09,,,,,,,,,,,,,,,
2015-02-10,,,,,,,,,,,,,,,
2015-02-11,,,,,,,,,,,,,,,
2015-02-12,,,,,,,,,,,,,,,
2015-02-13,,,,,,,,,,,,,,,
2015-02-16,,,,,,,,,,,,,,,
2015-02-18,,,,,,,,,,,,,,,
2015-02-19,,,,,,,,,,,,,,,
2015-02-20,,,,,,,,,,,,,,,
2015-02-23,,,,,,,,,,,,,,,
2015-02-24,,,,,,,,,,,,,,,
2015-02-25,,,,,,,,,,,,,,,
2015-02-26,,,,,,,,,,,,,,,
2015-02-27,,,,,,,,,,,,,,,
2015-03-02,,,,,,,,,,,,,,,
2015-03-03,,,,,,,,,,,,,,,
2015-03-04,,,,,,,,,,,,,,,
2015-03-05,,,,,,,,,,,,,,,
2015-03-09,,,,,,,,,,,,,,,
2015-03-10,,,,,,,,,,,,,,,
2015-03-11,,,,,,,,,,,,,,,
2015-03-12,,,,,,,,,,,,,,,
2015-03-13,,,,,,,,,,,,,,,
2015-03-16,,,,,,,,,,,,,,,
2015-03-17,,,,,,,,,,,,,,,
2015-03-18,,,,,,,,,,,,,,,
2015-03-19,,,,,,,,,,,,,,,
2015-03-20,,,,,,,,,,,,,,,
2015-03-23,,,,,,,,,,,,,,,
2015-03-24,,,,,,,,,,,,,,,
2015-03-25,,,,,,,,,,,,,,,
2015-03-26,,,,,,,,,,,,,,,
2015-03-27,,,,,,,,,,,,,,,
2015-03-30,,,,,,,,,,,,,,,
2015-03-31,,,,,,,,,,,,,,,
2015-04-01,0.8178902610652578,0.5001927760378456,0.6762765709173492,0.5585701273847927,0.5441247505489584,0.8077908541185713,0.6586981483605163,0.44376478332259545,0.30084712356855664,0.7159098324468078,0.7117741491074592,0.8387860426127307,0.44665403696757133,1.3071299309977753,1.13731633078832
2015-04-06,0.8411837051744169,0.49181917009714465,0.6415406857162551,0.5686446477510043,0.5929716343995959,0.8361485208440205,0.6901201553461364,0.47438036634702846,0.3172623372811702,0.8076321313518345,0.745521773522464,0.845497182044899,0.4246561487021559,1.2850062218762086,1.1746177333036625
2015-04-07,0.9153226527874734,0.4490805967903839,0.6088396399758362,0.6045283917231202,0.36816089161327265,0.7765989540278374,0.6687000093327423,0.46493705980788574,0.3616071486795804,0.7915194474525438,0.7077732412235346,0.7999838966619482,0.44073926480898407,1.2445849607330508,1.2794708256548968
